draw_number,channel,optimized_weekly_spend
0,field,341.87
0,email,25.31
0,digital,95.33
0,paid_media,124.54
1,field,340.68
1,email,25.31
1,digital,96.52
1,paid_media,124.54
2,field,340.68
2,email,25.31
2,digital,96.53
2,paid_media,124.54
3,field,340.68
3,email,25.31
3,digital,96.53
3,paid_media,124.54
4,field,340.68
4,email,25.31
4,digital,96.52
4,paid_media,124.54
5,field,340.68
5,email,25.31
5,digital,96.53
5,paid_media,124.54
6,field,340.68
6,email,25.31
6,digital,96.52
6,paid_media,124.54
7,field,340.68
7,email,25.31
7,digital,96.53
7,paid_media,124.54
8,field,340.68
8,email,25.31
8,digital,96.52
8,paid_media,124.54
9,field,340.68
9,email,25.31
9,digital,96.53
9,paid_media,124.54
10,field,340.68
10,email,25.31
10,digital,96.52
10,paid_media,124.54
11,field,340.68
11,email,25.31
11,digital,96.53
11,paid_media,124.54
12,field,350.78
12,email,25.31
12,digital,86.43
12,paid_media,124.54
13,field,340.68
13,email,25.31
13,digital,96.53
13,paid_media,124.54
14,field,340.68
14,email,25.31
14,digital,96.53
14,paid_media,124.54
15,field,353.5
15,email,25.31
15,digital,83.7
15,paid_media,124.54
16,field,346.3
16,email,25.31
16,digital,90.91
16,paid_media,124.54
17,field,340.68
17,email,25.31
17,digital,96.53
17,paid_media,124.54
18,field,340.68
18,email,25.31
18,digital,96.53
18,paid_media,124.54
19,field,340.68
19,email,25.31
19,digital,96.52
19,paid_media,124.54
20,field,340.68
20,email,25.31
20,digital,96.53
20,paid_media,124.54
21,field,340.68
21,email,25.31
21,digital,96.53
21,paid_media,124.54
22,field,340.68
22,email,25.31
22,digital,96.52
22,paid_media,124.54
23,field,340.68
23,email,25.31
23,digital,96.52
23,paid_media,124.54
24,field,358.23
24,email,25.31
24,digital,78.98
24,paid_media,124.54
25,field,340.68
25,email,25.31
25,digital,96.53
25,paid_media,124.54
26,field,340.68
26,email,25.31
26,digital,96.53
26,paid_media,124.54
27,field,340.68
27,email,25.31
27,digital,96.53
27,paid_media,124.54
28,field,340.68
28,email,25.31
28,digital,96.53
28,paid_media,124.54
29,field,340.68
29,email,25.31
29,digital,96.53
29,paid_media,124.54
30,field,358.23
30,email,25.31
30,digital,78.98
30,paid_media,124.54
31,field,340.68
31,email,25.31
31,digital,96.53
31,paid_media,124.54
32,field,340.68
32,email,25.31
32,digital,96.52
32,paid_media,124.54
33,field,340.68
33,email,25.31
33,digital,96.53
33,paid_media,124.54
34,field,340.68
34,email,25.31
34,digital,96.52
34,paid_media,124.54
35,field,340.68
35,email,25.31
35,digital,96.53
35,paid_media,124.54
36,field,340.68
36,email,25.31
36,digital,96.53
36,paid_media,124.54
37,field,340.68
37,email,25.31
37,digital,96.52
37,paid_media,124.54
38,field,340.68
38,email,25.31
38,digital,96.52
38,paid_media,124.54
39,field,349.08
39,email,25.31
39,digital,88.12
39,paid_media,124.54
40,field,340.68
40,email,25.31
40,digital,96.53
40,paid_media,124.54
41,field,340.68
41,email,25.31
41,digital,96.53
41,paid_media,124.54
42,field,340.68
42,email,25.31
42,digital,96.52
42,paid_media,124.54
43,field,340.68
43,email,25.31
43,digital,96.53
43,paid_media,124.54
44,field,340.68
44,email,25.31
44,digital,96.53
44,paid_media,124.54
45,field,340.68
45,email,25.31
45,digital,96.53
45,paid_media,124.54
46,field,340.68
46,email,25.31
46,digital,96.53
46,paid_media,124.54
47,field,340.68
47,email,25.31
47,digital,96.53
47,paid_media,124.54
48,field,340.68
48,email,25.31
48,digital,96.53
48,paid_media,124.54
49,field,340.68
49,email,25.31
49,digital,96.53
49,paid_media,124.54
50,field,340.68
50,email,25.31
50,digital,96.53
50,paid_media,124.54
51,field,340.68
51,email,25.31
51,digital,96.52
51,paid_media,124.54
52,field,340.68
52,email,25.31
52,digital,96.52
52,paid_media,124.54
53,field,340.68
53,email,25.31
53,digital,96.53
53,paid_media,124.54
54,field,340.68
54,email,25.31
54,digital,96.53
54,paid_media,124.54
55,field,340.68
55,email,25.31
55,digital,96.53
55,paid_media,124.54
56,field,340.68
56,email,25.31
56,digital,96.53
56,paid_media,124.54
57,field,340.68
57,email,25.31
57,digital,96.53
57,paid_media,124.54
58,field,340.68
58,email,25.31
58,digital,96.52
58,paid_media,124.54
59,field,340.68
59,email,25.31
59,digital,96.53
59,paid_media,124.54
60,field,340.68
60,email,25.31
60,digital,96.53
60,paid_media,124.54
61,field,340.68
61,email,25.31
61,digital,96.53
61,paid_media,124.54
62,field,346.82
62,email,25.31
62,digital,90.39
62,paid_media,124.54
63,field,340.68
63,email,25.31
63,digital,96.53
63,paid_media,124.54
64,field,340.68
64,email,25.31
64,digital,96.52
64,paid_media,124.54
65,field,340.68
65,email,25.31
65,digital,96.53
65,paid_media,124.54
66,field,340.68
66,email,25.31
66,digital,96.53
66,paid_media,124.54
67,field,340.68
67,email,25.31
67,digital,96.53
67,paid_media,124.54
68,field,340.68
68,email,25.31
68,digital,96.52
68,paid_media,124.54
69,field,340.68
