parameter,posterior_mean,posterior_sd,p5,p95,true_value,rhat,ess
baseline0,123.359,10.218,104.799,139.871,,1.01,658.0
noise_sd,7.961,0.653,6.986,9.096,,1.009,770.0
trend,0.125,0.096,-0.062,0.274,,1.277,654.0
seasonal_sin,7.145,1.766,4.371,10.237,,1.079,699.0
seasonal_cos,-4.035,1.607,-6.671,-1.428,,1.104,710.0
event_size,19.194,4.593,11.13,27.264,,1.148,660.0
field_coef,55.966,20.353,24.646,89.309,120.0,1.348,659.0
field_decay,0.328,0.119,0.116,0.522,0.4,1.123,660.0
field_ec50,7.047,1.667,4.55,9.829,2.7,1.235,658.0
field_slope,1.974,0.469,1.19,2.772,2.0,1.026,661.0
email_coef,42.685,13.1,26.903,66.544,40.0,1.016,669.0
email_decay,0.087,0.053,0.012,0.18,0.2,1.04,716.0
email_ec50,28.191,7.584,17.616,42.626,32.0,1.012,659.0
email_slope,1.563,0.538,0.807,2.549,1.5,1.019,657.0
digital_coef,58.646,18.158,32.003,91.403,60.0,1.063,658.0
digital_decay,0.241,0.095,0.091,0.401,0.1,1.025,668.0
digital_ec50,85.001,26.847,46.698,136.067,95.0,1.085,665.0
digital_slope,1.97,0.557,1.166,3.077,1.8,1.074,656.0
paid_media_coef,93.907,9.669,79.732,112.826,90.0,1.053,685.0
paid_media_decay,0.455,0.047,0.373,0.528,0.5,1.023,726.0
paid_media_ec50,139.43,23.18,106.788,184.616,135.0,1.047,682.0
paid_media_slope,1.996,0.348,1.5,2.622,2.5,1.029,671.0
