week,week_index,nrx,calls_field,spend_field,spend_email,spend_digital,spend_paid_media
2024-01-01,0,197.7,4.37,371.0,11.0,38.0,164.0
2024-01-08,1,246.6,4.5,382.0,8.0,63.0,148.0
2024-01-15,2,256.8,4.44,377.0,11.0,51.0,146.0
2024-01-22,3,267.4,4.61,391.0,16.0,52.0,140.0
2024-01-29,4,266.4,4.69,398.0,9.0,58.0,143.0
2024-02-05,5,254.7,4.65,395.0,11.0,51.0,139.0
2024-02-12,6,263.2,5.04,428.0,12.0,61.0,160.0
2024-02-19,7,274.3,4.97,423.0,15.0,61.0,134.0
2024-02-26,8,294.3,4.62,393.0,58.0,54.0,153.0
2024-03-04,9,284.4,4.64,394.0,61.0,58.0,132.0
2024-03-11,10,283.8,4.47,380.0,56.0,42.0,160.0
2024-03-18,11,275.5,4.37,371.0,10.0,52.0,144.0
2024-03-25,12,274.3,4.28,364.0,14.0,57.0,149.0
2024-04-01,13,268.4,4.43,376.0,14.0,60.0,163.0
2024-04-08,14,263.2,4.11,350.0,12.0,54.0,140.0
2024-04-15,15,275.7,4.09,347.0,9.0,69.0,164.0
2024-04-22,16,271.3,4.01,341.0,9.0,55.0,154.0
2024-04-29,17,260.5,3.87,329.0,10.0,49.0,147.0
2024-05-06,18,270.6,3.64,310.0,10.0,98.0,169.0
2024-05-13,19,278.9,4.32,367.0,15.0,91.0,131.0
2024-05-20,20,279.3,3.75,319.0,10.0,79.0,76.0
2024-05-27,21,285.6,3.96,337.0,10.0,87.0,97.0
2024-06-03,22,254.8,4.07,346.0,9.0,97.0,105.0
2024-06-10,23,264.2,4.1,348.0,13.0,86.0,93.0
2024-06-17,24,267.6,4.02,342.0,61.0,85.0,79.0
2024-06-24,25,279.0,4.32,367.0,60.0,85.0,95.0
2024-07-01,26,289.8,4.27,363.0,54.0,75.0,91.0
2024-07-08,27,264.7,4.53,385.0,14.0,75.0,102.0
2024-07-15,28,263.7,4.26,362.0,17.0,100.0,85.0
2024-07-22,29,258.7,4.55,387.0,13.0,63.0,106.0
2024-07-29,30,263.3,4.58,389.0,11.0,47.0,195.0
2024-08-05,31,260.3,4.7,399.0,9.0,64.0,184.0
2024-08-12,32,266.8,5.02,427.0,7.0,63.0,181.0
2024-08-19,33,265.9,4.85,412.0,9.0,54.0,182.0
2024-08-26,34,275.8,4.89,416.0,16.0,66.0,92.0
2024-09-02,35,265.0,4.73,402.0,15.0,61.0,94.0
2024-09-09,36,238.7,4.48,381.0,10.0,56.0,96.0
2024-09-16,37,248.5,4.6,391.0,13.0,50.0,90.0
2024-09-23,38,272.2,4.47,380.0,61.0,59.0,94.0
2024-09-30,39,279.0,4.19,356.0,58.0,59.0,117.0
2024-10-07,40,266.9,4.48,381.0,58.0,63.0,74.0
2024-10-14,41,233.3,4.18,355.0,6.0,64.0,76.0
2024-10-21,42,230.7,3.96,337.0,12.0,54.0,82.0
2024-10-28,43,233.8,4.03,342.0,11.0,55.0,116.0
2024-11-04,44,255.4,3.88,330.0,13.0,60.0,98.0
2024-11-11,45,197.3,3.73,317.0,8.0,51.0,12.0
2024-11-18,46,181.4,3.62,307.0,10.0,57.0,3.0
2024-11-25,47,181.1,3.8,323.0,12.0,49.0,9.0
2024-12-02,48,191.5,3.64,309.0,15.0,66.0,0.0
2024-12-09,49,194.5,4.28,364.0,12.0,62.0,0.0
2024-12-16,50,180.7,4.22,359.0,12.0,53.0,0.0
2024-12-23,51,227.7,4.23,359.0,10.0,77.0,78.0
