prscrbr_npi,prscrbr_last_org_name,prscrbr_first_name,prscrbr_city,prscrbr_state_abrvtn,prscrbr_type,drug_name,generic_name,drug_class,tot_clms,tot_benes,tot_day_suply,tot_drug_cst,year
9000000001,Provider_HCP0001,Synthetic,IL City,IL,Pulmonology,Nexoral,nexoral,Competitor A,72,23,4896,66202.28,2024
9000000002,Provider_HCP0002,Synthetic,FL City,FL,Family Practice,Roventra,roventra,Launch product,71,19,2059,73114.83,2024
9000000003,Provider_HCP0003,Synthetic,MI City,MI,Family Practice,Vexpro,vexpro,Competitor B,222,122,10656,202842.68,2024
9000000004,Provider_HCP0004,Synthetic,NY City,NY,Cardiology,Vexpro,vexpro,Competitor B,73,36,4453,48546.72,2024
9000000005,Provider_HCP0005,Synthetic,PA City,PA,Family Practice,Nexoral,nexoral,Competitor A,236,208,7316,77587.05,2024
9000000006,Provider_HCP0006,Synthetic,GA City,GA,Oncology/Hematology,Vexpro,vexpro,Competitor B,92,51,6440,12461.21,2024
9000000006,Provider_HCP0006,Synthetic,GA City,GA,Oncology/Hematology,Nexoral,nexoral,Competitor A,198,197,15048,171431.07,2024
9000000007,Provider_HCP0007,Synthetic,NJ City,NJ,Family Practice,Nexoral,nexoral,Competitor A,88,54,5984,24384.62,2024
9000000007,Provider_HCP0007,Synthetic,NJ City,NJ,Family Practice,Roventra,roventra,Launch product,234,150,8190,163004.8,2024
9000000008,Provider_HCP0008,Synthetic,AZ City,AZ,Cardiology,Vexpro,vexpro,Competitor B,116,115,8932,59774.9,2024
9000000008,Provider_HCP0008,Synthetic,AZ City,AZ,Cardiology,Roventra,roventra,Launch product,16,11,992,11109.8,2024
9000000008,Provider_HCP0008,Synthetic,AZ City,AZ,Cardiology,Nexoral,nexoral,Competitor A,74,23,6364,88511.72,2024
9000000009,Provider_HCP0009,Synthetic,TX City,TX,Rheumatology,Nexoral,nexoral,Competitor A,238,124,17850,35682.46,2024
9000000010,Provider_HCP0010,Synthetic,WA City,WA,Rheumatology,Roventra,roventra,Launch product,107,13,5029,18380.06,2024
9000000010,Provider_HCP0010,Synthetic,WA City,WA,Rheumatology,Nexoral,nexoral,Competitor A,248,47,9920,197647.19,2024
9000000010,Provider_HCP0010,Synthetic,WA City,WA,Rheumatology,Vexpro,vexpro,Competitor B,54,15,3348,37888.78,2024
