npi,physician_specialty,company_name,payment_amount,payment_category,payment_year,data_source,source_url,extract_year,source_mode,schema_version,retrieved_at_utc
9000000002,,Meridian Health Sciences,857.49,Travel Reimbursement,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000002,,ClearPath BioMed,24788.22,Consulting Fees,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000002,,Apex Oncology,1445.88,Education/Training,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000004,,ClearPath BioMed,62802.08,Research Grants,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000005,,NovaBio Pharmaceuticals,6082.07,Speaking Fees,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000005,,Meridian Health Sciences,24049.68,Consulting Fees,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000005,,ClearPath BioMed,99415.25,Research Grants,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000005,,Meridian Health Sciences,898.54,Travel Reimbursement,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000005,,Helix Therapeutics,1206.13,Education/Training,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000005,,NovaBio Pharmaceuticals,32432.88,Research Grants,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000005,,Helix Therapeutics,221.08,Education/Training,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000005,,Meridian Health Sciences,36281.3,Research Grants,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000007,,Helix Therapeutics,6833.53,Consulting Fees,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000007,,Helix Therapeutics,15682.55,Research Grants,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000007,,Meridian Health Sciences,249.79,Travel Reimbursement,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000007,,NovaBio Pharmaceuticals,860.33,Education/Training,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000008,,Apex Oncology,996.65,Travel Reimbursement,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000008,,NovaBio Pharmaceuticals,1028.01,Travel Reimbursement,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000008,,Apex Oncology,958.47,Travel Reimbursement,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000009,,Meridian Health Sciences,14127.4,Consulting Fees,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000010,,Meridian Health Sciences,92999.71,Research Grants,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000010,,Apex Oncology,842.99,Travel Reimbursement,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000010,,ClearPath BioMed,4164.81,Speaking Fees,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000010,,NovaBio Pharmaceuticals,3881.02,Speaking Fees,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
9000000010,,Apex Oncology,14134.66,Speaking Fees,2024,synthetic proxy,local generated Chapter 3 data,2024,dry_run,2026-06-11,2026-06-17T06:25:03+00:00
