draw,nrmse,decomp_rssd,digital_contribution,digital_pct_error,pareto_efficient
117,0.02606,0.23223,38.17,31.7,True
2388,0.02606,0.23223,38.17,31.7,False
1252,0.02626,0.23429,35.71,23.2,False
1087,0.0263,0.20265,28.19,-2.8,True
672,0.02639,0.20085,23.26,-19.8,True
2315,0.0264,0.17644,27.55,-5.0,True
146,0.0264,0.18978,29.21,0.8,False
685,0.02642,0.23067,33.84,16.7,False
1090,0.02643,0.23799,36.67,26.5,False
1692,0.02644,0.21457,26.45,-8.8,False
1596,0.02645,0.2038,27.78,-4.2,False
2222,0.02648,0.23155,38.48,32.7,False
1994,0.02649,0.2133,24.36,-16.0,False
263,0.0265,0.2279,27.16,-6.3,False
2145,0.02651,0.20967,28.28,-2.4,False
1204,0.02651,0.19619,26.87,-7.3,False
1662,0.02651,0.19619,26.87,-7.3,False
1032,0.02651,0.2028,27.46,-5.3,False
1517,0.02652,0.22709,39.27,35.5,False
1754,0.02652,0.22709,39.27,35.5,False
1673,0.02652,0.19809,27.16,-6.3,False
458,0.02653,0.20876,23.43,-19.2,False
1346,0.02653,0.21335,26.62,-8.2,False
1144,0.02653,0.21335,26.62,-8.2,False
1413,0.02655,0.16275,21.38,-26.3,True
2029,0.02655,0.22427,13.0,-55.1,False
1585,0.02656,0.16448,17.75,-38.8,False
2356,0.02657,0.21794,12.8,-55.8,False
2003,0.02657,0.16921,16.35,-43.6,False
2326,0.02657,0.22403,24.13,-16.8,False
1900,0.02658,0.21203,27.08,-6.6,False
1738,0.02658,0.1943,26.12,-9.9,False
991,0.02658,0.22191,28.4,-2.0,False
1821,0.0266,0.23775,26.75,-7.7,False
374,0.0266,0.20779,29.57,2.0,False
1250,0.02661,0.20266,18.45,-36.4,False
1186,0.02661,0.229,24.27,-16.3,False
345,0.02661,0.17636,26.26,-9.4,False
1951,0.02662,0.20181,29.32,1.1,False
1749,0.02662,0.18736,25.53,-11.9,False
795,0.02664,0.21321,33.89,16.9,False
1761,0.02664,0.19769,21.73,-25.1,False
315,0.02665,0.1818,25.25,-12.9,False
2258,0.02666,0.22233,39.58,36.5,False
494,0.02668,0.2566,36.71,26.6,False
424,0.02668,0.20126,24.26,-16.3,False
844,0.02668,0.1991,29.81,2.8,False
119,0.02669,0.22088,26.06,-10.1,False
955,0.02669,0.28004,22.62,-22.0,False
326,0.02669,0.24597,41.16,42.0,False
1231,0.0267,0.22387,29.12,0.4,False
1677,0.02671,0.19369,27.87,-3.9,False
1361,0.02671,0.20558,23.12,-20.2,False
78,0.02671,0.20926,21.85,-24.6,False
1871,0.02671,0.17341,16.1,-44.5,False
927,0.02671,0.22492,18.97,-34.6,False
212,0.02671,0.19558,23.01,-20.6,False
1631,0.02671,0.19624,21.6,-25.5,False
103,0.02671,0.20769,28.59,-1.4,False
1889,0.02671,0.17971,25.25,-12.9,False
440,0.02672,0.20765,21.37,-26.3,False
388,0.02672,0.19688,32.31,11.4,False
1542,0.02673,0.20655,30.82,6.3,False
1841,0.02673,0.17177,19.02,-34.4,False
1303,0.02673,0.20655,30.82,6.3,False
2325,0.02674,0.20846,27.77,-4.2,False
576,0.02674,0.20166,31.38,8.2,False
1328,0.02674,0.24127,19.15,-33.9,False
579,0.02674,0.20457,15.46,-46.7,False
2386,0.02674,0.21655,26.73,-7.8,False
611,0.02676,0.19991,29.83,2.9,False
1074,0.02677,0.24921,18.67,-35.6,False
1092,0.02677,0.15312,19.88,-31.4,True
1601,0.02677,0.18554,16.04,-44.7,False
2,0.02677,0.19884,17.03,-41.3,False
1613,0.02677,0.24921,18.67,-35.6,False
32,0.02677,0.18554,16.04,-44.7,False
1163,0.02677,0.24921,18.67,-35.6,False
1405,0.02678,0.18795,30.58,5.5,False
1587,0.02678,0.18339,21.21,-26.8,False
726,0.02678,0.19248,25.87,-10.8,False
618,0.02678,0.24114,32.72,12.9,False
1987,0.02678,0.18339,21.21,-26.8,False
528,0.02678,0.18665,33.45,15.4,False
