parameter,posterior_mean,posterior_sd,p5,p95,true_value
baseline,58.928,8.33,39.146,68.077,50.0
noise_sd,7.779,0.5,7.362,8.617,8.0
field_coef,112.596,31.962,63.749,143.901,
field_decay,0.297,0.114,0.2,0.464,
field_ec50,0.551,0.084,0.465,0.748,
field_slope,2.07,0.386,1.6,2.975,
email_coef,49.166,18.7,18.64,74.266,
email_decay,0.21,0.063,0.153,0.294,
email_ec50,0.394,0.051,0.274,0.441,
email_slope,1.723,0.427,0.936,2.424,
digital_coef,62.609,18.034,40.714,91.635,
digital_decay,0.186,0.055,0.104,0.274,
digital_ec50,0.491,0.113,0.272,0.653,
digital_slope,0.834,0.513,0.28,1.568,
paid_media_coef,91.402,11.528,74.77,114.792,
paid_media_decay,0.564,0.069,0.458,0.625,
paid_media_ec50,0.598,0.044,0.524,0.678,
paid_media_slope,2.277,0.367,1.737,2.811,
