parameter,posterior_mean,posterior_sd,p5,p95,true_value,rhat,ess
baseline0,81.323,9.359,66.315,95.994,,1.093,657.0
noise_sd,7.825,0.596,6.898,8.867,,1.004,762.0
trend,0.125,0.09,-0.016,0.263,,1.295,654.0
seasonal_sin,8.051,1.692,5.321,10.843,,1.077,693.0
seasonal_cos,-4.379,1.534,-6.837,-1.825,,1.149,698.0
event_size,20.061,4.883,12.806,28.438,,1.268,656.0
field_coef,107.466,12.385,89.907,129.689,120.0,1.097,668.0
field_decay,0.429,0.081,0.299,0.565,0.4,1.169,669.0
field_ec50,4.006,0.604,2.904,4.93,2.7,1.183,697.0
field_slope,2.384,0.393,1.776,3.019,2.0,1.107,662.0
email_coef,38.424,10.177,24.738,57.64,40.0,1.006,675.0
email_decay,0.082,0.048,0.011,0.166,0.2,1.047,710.0
email_ec50,31.304,8.665,17.568,47.367,32.0,1.183,654.0
email_slope,1.759,0.591,0.948,2.961,1.5,1.036,655.0
digital_coef,48.158,16.398,21.684,74.625,60.0,1.123,659.0
digital_decay,0.171,0.102,0.03,0.365,0.1,1.067,661.0
digital_ec50,113.329,29.891,65.798,166.223,95.0,1.201,659.0
digital_slope,1.907,0.408,1.138,2.508,1.8,1.061,662.0
paid_media_coef,86.58,8.827,73.973,102.132,90.0,1.128,683.0
paid_media_decay,0.43,0.049,0.347,0.51,0.5,1.115,702.0
paid_media_ec50,125.827,20.468,95.954,165.182,135.0,1.237,681.0
paid_media_slope,2.038,0.34,1.491,2.578,2.5,1.074,668.0
