parameter,posterior_mean,posterior_sd,p5,p95,true_value,rhat,ess
baseline0,126.936,11.442,106.726,145.189,,1.051,658.0
noise_sd,9.165,0.667,8.115,10.292,,1.007,792.0
field_coef,54.603,23.143,17.574,93.019,120.0,1.04,658.0
field_decay,0.287,0.099,0.129,0.451,0.4,1.063,673.0
field_ec50,7.475,1.631,4.858,10.283,2.7,1.082,662.0
field_slope,2.084,0.595,1.174,3.107,2.0,1.041,658.0
email_coef,41.391,10.002,27.833,60.734,40.0,1.034,696.0
email_decay,0.091,0.053,0.013,0.185,0.2,1.023,733.0
email_ec50,27.096,7.371,16.089,39.675,32.0,1.008,661.0
email_slope,1.542,0.444,0.917,2.427,1.5,1.03,668.0
digital_coef,111.425,13.311,90.572,136.621,60.0,1.007,674.0
digital_decay,0.304,0.072,0.186,0.427,0.1,1.014,689.0
digital_ec50,131.045,18.95,103.743,164.088,95.0,1.015,681.0
digital_slope,2.373,0.314,1.88,2.906,1.8,1.003,677.0
paid_media_coef,107.896,14.61,89.806,141.511,90.0,1.11,667.0
paid_media_decay,0.479,0.041,0.409,0.545,0.5,1.012,755.0
paid_media_ec50,182.058,25.842,148.46,230.59,135.0,1.059,682.0
paid_media_slope,2.25,0.396,1.566,2.932,2.5,1.064,669.0
trend,0.0,0.0,0.0,0.0,,,
seasonal_sin,0.0,0.0,0.0,0.0,,,
seasonal_cos,0.0,0.0,0.0,0.0,,,
event_size,0.0,0.0,0.0,0.0,,,
