channel,weekly_spend,weekly_input_value,input_unit,mean_nrx_contribution,p10_nrx_contribution,p90_nrx_contribution,current_spend_flag
field,0.0,0.0,calls,0.0,0.0,0.0,False
field,15.0,0.18,calls,0.46,0.06,1.01,False
field,29.9,0.35,calls,1.83,0.41,3.59,False
field,44.9,0.53,calls,4.17,1.29,7.7,False
field,59.9,0.7,calls,7.45,2.87,13.03,False
field,74.8,0.88,calls,11.57,5.21,19.41,False
field,89.8,1.06,calls,16.38,8.45,25.82,False
field,104.8,1.23,calls,21.69,12.53,32.02,False
field,119.7,1.41,calls,27.3,17.52,38.25,False
field,134.7,1.58,calls,33.02,23.08,44.13,False
field,149.7,1.76,calls,38.69,28.9,49.63,False
field,164.6,1.94,calls,44.19,34.66,55.39,False
field,179.6,2.11,calls,49.41,40.26,59.94,False
field,194.6,2.29,calls,54.29,45.49,64.51,False
field,209.5,2.46,calls,58.81,50.36,68.42,False
field,224.5,2.64,calls,62.95,54.98,72.24,False
field,239.5,2.82,calls,66.72,59.06,75.4,False
field,254.4,2.99,calls,70.14,63.02,78.68,False
field,269.4,3.17,calls,73.23,66.4,81.61,False
field,284.3,3.35,calls,76.01,69.45,84.01,False
field,299.3,3.52,calls,78.52,72.06,86.23,False
field,314.3,3.7,calls,80.77,74.45,88.25,False
field,329.2,3.87,calls,82.8,76.45,90.17,False
field,344.2,4.05,calls,84.64,78.27,92.27,True
field,359.2,4.23,calls,86.29,79.68,93.92,True
field,374.1,4.4,calls,87.79,81.05,95.52,True
field,389.1,4.58,calls,89.15,82.12,97.03,True
field,404.1,4.75,calls,90.38,82.81,98.58,False
field,419.0,4.93,calls,91.49,83.73,99.83,False
field,434.0,5.11,calls,92.51,84.75,101.0,False
field,449.0,5.28,calls,93.44,85.23,102.32,False
field,463.9,5.46,calls,94.29,85.79,103.25,False
field,478.9,5.63,calls,95.07,86.3,104.34,False
field,493.9,5.81,calls,95.78,86.72,105.29,False
field,508.8,5.99,calls,96.44,87.2,106.25,False
field,523.8,6.16,calls,97.04,87.61,107.12,False
field,538.8,6.34,calls,97.6,88.06,107.84,False
field,553.7,6.51,calls,98.11,88.52,108.5,False
field,568.7,6.69,calls,98.59,88.82,109.11,False
field,583.7,6.87,calls,99.03,89.08,109.67,False
field,598.6,7.04,calls,99.44,89.42,110.3,False
field,613.6,7.22,calls,99.83,89.74,110.84,False
field,628.6,7.39,calls,100.18,89.94,111.3,False
field,643.5,7.57,calls,100.51,90.12,111.69,False
field,658.5,7.75,calls,100.82,90.28,112.16,False
field,673.5,7.92,calls,101.11,90.43,112.56,False
field,688.4,8.1,calls,101.39,90.56,112.93,False
field,703.4,8.28,calls,101.64,90.68,113.26,False
field,718.4,8.45,calls,101.88,90.79,113.61,False
